[i] Train : 117266
[i] Valid : 4952
[i] pred_bboxes_op : Tensor("YOLOv3/concat:0", shape=(?, ?, 85), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_3:0", shape=(?, ?, 85), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
[i] iter : 3650, loss : 93.7434, giou_loss : 52.8590, conf_loss : 9.8713, class_loss : 26.7212, l2_reg_loss : 4.2919, train_time : 14sec
[i] iter : 3700, loss : 77.5331, giou_loss : 42.5738, conf_loss : 7.9849, class_loss : 22.6825, l2_reg_loss : 4.2919, train_time : 13sec
[i] iter : 3750, loss : 86.1684, giou_loss : 48.9417, conf_loss : 9.2230, class_loss : 23.7119, l2_reg_loss : 4.2918, train_time : 13sec
[i] iter : 3800, loss : 88.8524, giou_loss : 51.5135, conf_loss : 9.5379, class_loss : 23.5093, l2_reg_loss : 4.2917, train_time : 13sec
[i] iter : 3850, loss : 72.7776, giou_loss : 40.8756, conf_loss : 7.8524, class_loss : 19.7581, l2_reg_loss : 4.2916, train_time : 13sec
[i] iter : 3900, loss : 86.7610, giou_loss : 50.5765, conf_loss : 9.2023, class_loss : 22.6907, l2_reg_loss : 4.2915, train_time : 13sec
[i] iter : 3950, loss : 75.3065, giou_loss : 42.0189, conf_loss : 8.1684, class_loss : 20.8278, l2_reg_loss : 4.2914, train_time : 13sec
[i] iter : 4000, loss : 87.2480, giou_loss : 50.2380, conf_loss : 9.5701, class_loss : 23.1486, l2_reg_loss : 4.2913, train_time : 15sec
[i] iter : 4050, loss : 80.6335, giou_loss : 46.3520, conf_loss : 8.6615, class_loss : 21.3288, l2_reg_loss : 4.2912, train_time : 14sec
[i] iter : 4100, loss : 76.5858, giou_loss : 44.3403, conf_loss : 8.2423, class_loss : 19.7121, l2_reg_loss : 4.2911, train_time : 12sec
[i] iter : 4150, loss : 90.5847, giou_loss : 54.2544, conf_loss : 9.6014, class_loss : 22.4379, l2_reg_loss : 4.2910, train_time : 14sec
[i] iter : 4200, loss : 89.0597, giou_loss : 52.9399, conf_loss : 9.8312, class_loss : 21.9976, l2_reg_loss : 4.2910, train_time : 14sec
[i] iter : 4250, loss : 75.6652, giou_loss : 44.6215, conf_loss : 8.1671, class_loss : 18.5856, l2_reg_loss : 4.2910, train_time : 13sec
[i] iter : 4300, loss : 75.4009, giou_loss : 44.2712, conf_loss : 8.2081, class_loss : 18.6308, l2_reg_loss : 4.2908, train_time : 13sec
[i] iter : 4350, loss : 74.3402, giou_loss : 43.8810, conf_loss : 7.8043, class_loss : 18.3643, l2_reg_loss : 4.2907, train_time : 12sec
[i] iter : 4400, loss : 82.4306, giou_loss : 49.2842, conf_loss : 8.8703, class_loss : 19.9855, l2_reg_loss : 4.2906, train_time : 14sec
[i] iter : 4450, loss : 75.6307, giou_loss : 45.0812, conf_loss : 8.0595, class_loss : 18.1996, l2_reg_loss : 4.2904, train_time : 12sec
[i] iter : 4500, loss : 76.0090, giou_loss : 45.1323, conf_loss : 8.1173, class_loss : 18.4692, l2_reg_loss : 4.2902, train_time : 13sec
[i] iter : 4550, loss : 78.6952, giou_loss : 47.6564, conf_loss : 8.4018, class_loss : 18.3470, l2_reg_loss : 4.2900, train_time : 13sec
